Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH
"Sun, 17/10/21", 1.3 , 6.1 , 1.1 , 3.8 , 3.1 , 1.4 , 4.6 , 7.4 
"Mon, 18/10/21", 2.1 , 7.4 , 2.9 , 12.5 , 3.2 , 3.1 , 6.5 , 5.7 
"Tue, 19/10/21", 1.5 , 4.3 , 2.1 , 8.2 , 2.8 , 2.9 , 18.1 , 5.3 
"Wed, 20/10/21", 2.5 , 4.4 , 1.8 , 3.6 , 2.5 , 3.6 , 10.0 , 6.1 
"Thu, 21/10/21", 2.0 , 5.0 , 9.1 , 2.8 , 1.9 , 1.8 , 4.4 , 5.0 
"Fri, 22/10/21", 0.9 , 3.0 , 1.9 , 3.4 , 2.4 , 1.5 , 2.8 , 5.1 
"Sat, 23/10/21", 1.7 , 1.5 , 1.0 , 4.9 , 3.1 , 2.3 , 2.2 , 3.9 
